

==================== CO1 ====================
[2M | Remember | 1 (Easy)] What is DBMS?
[5M | Apply | 1] Define the concept of a candidate key and explain how to determine it in a relation.
[5M | Understand | 2] Discuss the role of functional dependencies in reducing data redundancy in database design.
[5M | Understand | 1] Discuss the significance of atomic values in achieving 1NF. Provide an example.
[5M | Apply | 2] Define transitive dependency with an example and explain how to eliminate it.
[5M | Understand | 2] Explain the significance of 3NF in database design. Provide an example of a relation that violates 3NF.
[5M | Understand | 2] How can functional dependencies be used to identify keys in a relation?
[5M | Understand | 3] Define Boyce-Codd Normal Form (BCNF). Explain its significance over 3NF.
[5M | Understand | 2] What is the impact of overuse of NULL values in relational databases?
[5M | Understand | 1] Define redundancy and explain how it leads to inefficient database design.
[5M | Apply | 2] Demonstrate how to normalize a given relation to achieve 2NF with an example.
[5M | Understand | 2] Discuss the process of normalization from 2NF to 3NF. Provide an example of a relation.
[5M | Analyze | 2] What are the challenges in database design related to overuse of NULL values?
[5M | Understand | 1] Explain how normalization helps in organizing data efficiently by reducing anomalies.
[5M | Understand | 2] Discuss the role of functional dependencies in 3NF. Explain with an example.
[5M | Understand | 1] Define the 1st Normal Form (1NF) and explain how a table violates 1NF. Provide an example.
[5M | Understand | 2] Explain the impact of transitive dependency in relation to 3NF. Provide an example of a relation that violates 3NF.
[5M | Analyze | 2] What are the key differences between 3NF and BCNF in terms of data integrity?
[5M | Understand | 1] Discuss the role of 1NF in eliminating repeating groups in a table. Provide an example.
[5M | Understand | 2] Define multi-valued dependency and explain its impact on database normalization.
[5M | Understand | 1] Explain the difference between a candidate key and a superkey. Provide an example.
[5M | Analyze | 2] Discuss the challenges in database design when dealing with non-scalable designs.
[5M | Understand | 3] Explain the concept of 4NF and the types of dependencies it addresses. Provide an example of a relation violating 4NF.
[5M | Apply | 2] Describe the process of eliminating partial dependency to achieve 2NF with an example.
[5M | Analyze | 2] Analyze the significance of data integrity in the context of functional dependencies.
[5M | Understand | 2] How does normalization improve database design in terms of reducing anomalies? Provide an example.
[5M | Understand | 1] Explain how normalization helps to minimize anomalies like deletion anomalies.
[5M | Apply | 2] Demonstrate the process of eliminating transitive dependency and achieving 3NF.
[5M | Understand | 1] Discuss the impact of data redundancy in relational database systems and explain how normalization addresses this issue.
[5M | Understand | 2] Discuss how the concept of candidate keys relates to data integrity and database normalization.
[5M | Understand | 2] Explain how normalization helps in improving query performance. Provide an example.
[5M | Understand | 2 (Average)] Discuss how normalization helps in eliminating insertion anomalies in relational databases.
[5M | Understand | 2 (Average)] Explain the impact of non-key attributes on database design and how to manage them using functional dependencies.
[5M | Understand | 2 (Average)] Define and explain the concept of Boyce-Codd Normal Form (BCNF). How does it differ from 3NF?
[5M | Understand | 2 (Average)] Explain the concept of multivalued dependency and how it is resolved in 4NF. Provide an example.
[5M | Analyze | 2 (Average)] Analyze the role of superkeys and candidate keys in ensuring functional dependencies in database design.
[5M | Understand | 3 (Difficult)] Explain how normalization prevents poor data integrity. Provide an example where 3NF resolves data integrity issues.
[5M | Understand | 3 (Difficult)] Discuss how multi-valued dependencies can violate 4NF and provide steps to resolve such violations.
[5M | Understand | 1 (Easy)] Define atomic values and their significance in 1NF. Provide an example where non-atomic values violate 1NF.
[5M | Analyze | 2 (Average)] Discuss how the concept of partial dependency influences database design and how it can be avoided.
[5M | Understand | 2 (Average)] What is 4NF? Explain how it differs from 3NF in terms of multi-valued dependencies.
[5M | Understand | 2 (Average)] Define and explain transitive dependency in the context of 3NF. How can it be eliminated during normalization?
[5M | Apply | 3 (Difficult)] Demonstrate how normalization from 2NF to BCNF helps in eliminating redundant data.
[5M | Understand | 2 (Average)] Discuss the impact of NULL values on relational database design. How can it affect normalization?
[5M | Understand | 2 (Average)] Explain how 3NF eliminates transitive dependencies in database design. Provide an example.
[5M | Understand | 2 (Average)] Explain the role of superkeys and primary keys in determining functional dependencies.
[5M | Remember | 2 (Average)] Define multi-valued dependency and explain how it violates 4NF. Provide an example.
[5M | Understand | 2 (Average)] Discuss how normalization helps improve data integrity by eliminating redundancy. Provide an example.
[5M | Understand | 3 (Difficult)] Explain how normalization resolves redundancy in a database. Provide an example where redundancy is reduced.
[5M | Understand | 3 (Difficult)] Explain how to identify and eliminate partial dependencies when converting a relation from 1NF to 2NF.
[5M | Understand | 2 (Average)] Discuss how normalization helps to remove data anomalies in database design. Provide an example.
[5M | Understand | 2 (Average)] Explain how to identify a candidate key in a given relation. Provide an example.
[5M | Understand | 2 (Average)] Discuss the concept of dependency preservation in normalization. How does it help maintain database integrity?
[10M | Understand | None] Write a note on the different anomalies.
[10M | Analyze | None] Consider the schema R = (A, B, C, D, E). The following set F of functional dependencies holds:
A→BC, CD→E, B→D, E→A
Give a lossless, dependency-preserving decomposition into 3NF of schema R
[10M | Understand | None] What are the pitfalls in relational Database design?
[10M | Analyze | None] Consider the following relation for published books: 
BOOK (Book_title, Author_name, Book_type, List_price, Author_affil, Publisher)

Author_affil refers to the affiliation of author. Suppose the following dependencies exist:
Book_title → Publisher, Book_type 
Book_type → List_price
Author_name → Author_affil

What normal form is the relation in?
[10M | Understand | None] Explain normalization in detail.
[10M | Analyze | None] Consider the relation User (UserID, User_Email, FName, Lname, City, State, Zip). Given that a user has unique UserID and User_Email,
a. Identify the functional dependencies for User.
b. Identify a candidate key using the functional dependencies arrived at in step (a).
c. Normalize the relation up to 2NF.
[10M | Understand | 1 (Easy)] Discuss the Boyce-Codd Normal Form (BCNF) and its role in removing anomalies.
[10M | Understand | 2 (Average)] Define multi-valued dependency and discuss how 4NF eliminates it.
[10M | Understand | 2 (Average)] Discuss the process of decomposition in normalization.
[10M | Analyze | 2 (Average)] Analyze the significance of transitive dependency and its removal in 3NF.
[10M | Apply | 3 (Difficult)] Apply 1NF, 2NF, and 3NF to the following relation and show the steps of normalization.
[10M | Analyze | 2 (Average)] Analyze the significance of the Boyce-Codd Normal Form and when it should be applied.
[10M | Understand | 2] Discuss the role of decomposition in database design. Why is it necessary?
[10M | Analyze | 2] Discuss the significance of data integrity and how normalization enhances it.
[10M | Analyze | 2] Explain how transitive dependency affects database design. How can it be eliminated in 3NF?
[10M | Analyze | 2] Discuss the impact of inconsistent data on relational database design.
[10M | Understand | 2] Discuss how the normalization process eliminates anomalies and improves data integrity.
[10M | Analyze | 3] Analyze the given relation and demonstrate how to convert it to BCNF.
[10M | Understand | 2] Define the concept of a superkey and demonstrate its role in functional dependencies.
[10M | Analyze | 2] Discuss the significance of transitive dependency and how it affects data integrity.
[10M | Understand | 3] What is the purpose of 4NF? Explain how it resolves multi-valued dependencies.
[10M | Apply | 3] Identify the functional dependencies in the given relation and normalize it to 2NF.
[10M | Understand | 2] Explain the concept of dependency preservation in 3NF and its importance.
[10M | Understand | 2] Describe how normalization can eliminate insertion, update, and deletion anomalies.
[10M | Understand | 3] Explain the concept of multi-valued dependency and how 4NF resolves it.
[10M | Analyze | 3] Analyze the given relation and show how to apply BCNF to it.
[10M | Analyze | 2] Explain the impact of non-scalable designs on database performance.
[10M | Apply | 3] Provide an example of a table that violates 4NF and demonstrate how to normalize it.
[10M | Understand | 2] Discuss the process of eliminating anomalies in a database by applying normalization.
[10M | Understand | 3] Define multi-valued dependencies and explain their impact on database design.
[10M | Apply | 3] Demonstrate the process of converting a relation into BCNF with an example.
[10M | Apply | 1] Explain the steps involved in normalizing a database to 1NF. Provide an example.
[10M | Analyze | 2] Analyze the impact of NULL values on database performance and integrity.
[10M | Apply | 2] Discuss the process of converting a relation from 2NF to 3NF with an example.
[10M | Understand | 2] Discuss how anomalies such as update, insertion, and deletion can be reduced through normalization.
[10M | Apply | 3] Demonstrate how to normalize a table that contains a multi-valued dependency to 4NF.
[10M | Understand | 2] Discuss the importance of functional dependency preservation in 3NF.
[10M | Understand | 3] What is the role of dependency preservation in BCNF? Provide an example.
[10M | Apply | 3] What are the steps involved in converting a database relation to BCNF?
[10M | Apply | 3] Explain the impact of multi-valued dependencies and how to eliminate them to achieve 4NF.
[10M | Analyze | 2] How does normalization contribute to improving query performance in a database?
[10M | Understand | 2] How does normalization address the issue of update anomalies in relational databases?
[10M | Apply | 3] Demonstrate the process of normalizing a relation from 1NF to 3NF with an example.
[10M | Analyze | 2] Analyze a database schema and show how to eliminate anomalies by normalizing to 2NF.
[10M | Understand | 1] Discuss how anomalies such as insertion anomalies can be avoided by normalization.
[10M | Apply | 3] Explain how to achieve 4NF and provide an example of a table that violates 4NF.
[10M | Understand | 1] How does normalization in relational database design minimize insertion anomalies?
[10M | Analyze | 2] Analyze a relation and show the steps to eliminate update anomalies by normalizing it to 3NF.
[10M | Apply | 3] Demonstrate the process of normalization from 1NF to 4NF with examples.
[10M | Understand | 3] Define Boyce-Codd Normal Form (BCNF) and describe the procedure to convert a relation to BCNF.
[10M | Analyze | 2] Analyze the advantages and disadvantages of applying BCNF over 3NF.
[10M | Apply | 2] Explain the steps involved in converting a relation from 2NF to BCNF.
[10M | Understand | 1] Explain how normalization helps in organizing data efficiently by reducing redundancy.
[10M | Analyze | 2] Analyze a relation and demonstrate how to normalize it to 2NF by removing partial dependencies.
[10M | Apply | 2] Demonstrate how to normalize a relation from 1NF to 3NF. Provide an example to illustrate each step.
[10M | Understand | 2] What are the potential issues caused by inconsistent data in a database? How can normalization help in addressing them?
[10M | Analyze | 2] Analyze the impact of non-transitive dependencies in achieving 3NF. Provide an example of a relation violating 3NF.
[10M | Analyze | 3] Analyze a database schema and normalize it from 1NF to BCNF. Provide a detailed example of each step.
[10M | Apply | 3 (Difficult)] Demonstrate how to achieve Boyce-Codd Normal Form (BCNF) from 3NF. Provide an example of a relation that violates BCNF.
[10M | Apply | 3 (Difficult)] Demonstrate how to convert a relation to 3NF by eliminating transitive dependencies with an example.
[10M | Analyze | 3 (Difficult)] Analyze the benefits of applying BCNF in relational database design. Provide an example to illustrate the concept.
[10M | Apply | 2 (Average)] Demonstrate how normalization helps in reducing redundant data and improving data integrity in relational databases.
[10M | Analyze | 2 (Average)] Analyze the impact of partial dependencies in database normalization. How does 2NF help eliminate them?
[10M | Apply | 3 (Difficult)] Demonstrate the normalization process from 1NF to 4NF. Explain the role of each normal form with an example.
[10M | Analyze | 3 (Difficult)] Analyze a given relation and normalize it from 1NF to 3NF by addressing functional dependencies.
[10M | Apply | 3 (Difficult)] Demonstrate how to resolve insertion anomalies in a database schema by applying normalization.
[10M | Analyze | 3 (Difficult)] Analyze a given relation and normalize it to BCNF. Explain the steps involved.
[10M | Analyze | 3 (Difficult)] Analyze how BCNF resolves the anomalies caused by 3NF. Provide an example of a relation violating BCNF.
[10M | Apply | 3 (Difficult)] Demonstrate normalization by converting a relation from 1NF to 3NF. Provide an example for each step.
[10M | Analyze | 3 (Difficult)] Analyze a given relation and normalize it to 1NF. Provide detailed steps and explanation.
[10M | Apply | 3 (Difficult)] Demonstrate how to achieve 2NF from 1NF by eliminating partial dependencies.
[10M | Apply | 3 (Difficult)] Demonstrate the normalization process for a relation that violates 4NF. Show how multi-valued dependencies are removed.


==================== CO6 ====================
[2M | Apply | 2 (Average)] In order to undo the work of transaction after last commit, which step is used?
[2M | Remember | 2 (Average)] Define the concept of a transaction in a database.
[2M | Understand | 2 (Average)] What are the advantages of serial execution of transactions over concurrent execution?
[2M | Remember | 2 (Average)] List the types of locks used in lock-based concurrency control protocols.
[2M | Understand | 2 (Average)] What is the significance of the “Begin” and “Commit” operations in transaction management?
[2M | Understand | 2 (Average)] What is the difference between the “active” and “partially committed” states in a transaction?
[2M | Understand | 1] What is the significance of the “Committed State” in transaction management?
[5M | Understand | 1 (Easy)] Why is Concurrency control needed??
[5M | Understand | 2 (Average)] Explain conflict serializibility.
[5M | Understand | 2 (Average)] What is log-based recovery?
[5M | Understand | 2 (Average)] Explain View serializibility.
[5M | Understand | 2 (Average)] Explain the Atomicity requirement of a transaction.
[5M | Understand | 2 (Average)] Explain the ACID properties of a transaction in a DBMS.
[5M | Analyze | 2 (Average)] Differentiate between serial and concurrent executions in database transactions.
[5M | Understand | 2 (Average)] Describe the states a transaction goes through during its lifecycle.
[5M | Understand | 2 (Average)] What is the role of a checkpoint in transaction recovery?
[5M | Analyze | 2 (Average)] Compare conflict serializability and view serializability.
[5M | Understand | 2 (Average)] Discuss the importance of isolation in the ACID properties with examples.
[5M | Remember | 2 (Average)] Define the concept of transaction states and explain each state with an example.
[5M | Understand | 2 (Average)] Explain how the Write-Ahead Logging (WAL) protocol ensures recovery in database systems.
[5M | Analyze | 2 (Average)] What are the key benefits and drawbacks of using concurrent execution in a DBMS?
[5M | Understand | 2 (Average)] Explain the concept of two-phase locking (2PL) and its significance in concurrency control.
[5M | Understand | 2 (Average)] What are the types of failures in a DBMS, and how does each impact transaction management?
[5M | Remember | 2 (Average)] List and explain the different types of locks used in lock-based protocols.
[5M | Understand | 2 (Average)] Define and discuss the concept of serializability in transaction scheduling.
[5M | Understand | 2 (Average)] How does the database ensure durability in the event of a system crash, based on the ACID properties?
[5M | Understand | 2 (Average)] What is the role of transaction logs in database recovery?
[5M | Understand | 2 (Average)] Explain the concept of “Undo/Redo” log and its role in database recovery.
[5M | Analyze | 2] Compare and contrast conflict serializability with view serializability in transaction scheduling.
[5M | Understand | 2] What is the difference between system failure and transaction failure in a database system?
[5M | Understand | 2] What is meant by “log-based recovery”? Discuss its advantages and disadvantages.
[5M | Understand | 2] Explain the concept of conflict serializability and how it ensures consistency in concurrent transactions.
[5M | Understand | 3] Describe how the ACID property of Isolation is ensured in concurrent transaction processing.
[5M | Understand | 2] Explain the process of database recovery using checkpoints.
[5M | Understand | 2] Discuss the importance of functional dependencies in relational database design.
[5M | Understand | 2] Explain the concept of “Write-Ahead Logging (WAL)” with an example.
[5M | Understand | 3] Describe how two-phase locking avoids deadlock situations in a database system.
[5M | Understand | 2] Explain the role of the "Aborted State" in transaction management and its impact on recovery.
[5M | Understand | 3] Describe the mechanism of conflict resolution in concurrency control.
[5M | Understand | 2] Discuss the importance of the “Durability” property of ACID in a DBMS.
[5M | Understand | 2] What is meant by the term "transaction schedule"? How does it relate to serializability?
[5M | Understand | 3] How do timestamp-based protocols handle concurrency in DBMS?
[5M | Understand | 2 (Average)] Discuss the importance of "checkpointing" in the recovery process of a DBMS.
[5M | Analyze | 1 (Easy)] What is the difference between "shadow paging" and "log-based recovery"?
[5M | Understand | 1 (Easy)] What are the consequences of not handling concurrency control properly in a DBMS?
[5M | Remember | 1 (Easy)] List the different states a transaction can be in, and describe the transition process.
[5M | Understand | 2 (Average)] Explain the concept of "conflict serializability" in transaction scheduling.
[5M | Understand | 1 (Easy)] What is the function of a "log buffer" in log-based recovery?
[5M | Understand | 2 (Average)] Discuss how two-phase locking (2PL) ensures that transactions are serializable.
[5M | Understand | 1 (Easy)] What is the role of the "Aborted State" in the ACID properties, and how does recovery work?
[5M | Understand | 2 (Average)] Explain the concept of "deadlock recovery" in database systems.
[5M | Understand | 2 (Average)] How do timestamp-based protocols help in maintaining serializability?
[5M | Understand | 1 (Easy)] Explain how the "Active State" of a transaction is defined and when it changes.
[5M | Understand | 2 (Average)] What are the steps involved in ensuring isolation for transactions in a concurrent system?
[5M | Analyze | 2 (Average)] Discuss the implications of using serial execution versus concurrent execution in transaction management.
[5M | Apply | 3 (Difficult)] How can conflict serializability be verified in a transaction schedule?
[5M | Understand | 2 (Average)] Explain the concept of functional dependencies and their importance in database design.
[5M | Understand | 1 (Easy)] What is the significance of the "Committed State" in transaction management?
[5M | Understand | 2 (Average)] Explain how deadlock prevention mechanisms are implemented in DBMS.
[5M | Understand | 2 (Average)] Define the concept of "conflict" in conflict serializability, and explain how to detect it in a schedule.
[5M | Understand | 2 (Average)] How does the "Two-Phase Locking" (2PL) protocol prevent conflicts during transaction execution?
[5M | Analyze | 1 (Easy)] What are the key differences between "write-ahead logging" and "shadow paging"?
[5M | Understand | 2 (Average)] Discuss how media failure impacts DBMS and describe the recovery process using log-based recovery.
[5M | Understand | 1 (Easy)] What is the role of "commit" in a transaction's lifecycle, and how does it affect database consistency?
[5M | Analyze | 2 (Average)] Compare the advantages and disadvantages of serial execution and concurrent execution in database transactions.
[5M | Understand | None] Explain the importance of the "active state" in a transaction's lifecycle.
[5M | Understand | None] Discuss the role of the "Aborted State" in transaction recovery, and explain how to handle it.
[5M | Analyze | None] What is the difference between conflict and view serializability, and how do they affect transaction schedules?
[5M | Understand | None] Explain the purpose of the "undo/redo log" in log-based recovery and its role in ensuring database durability.
[5M | Understand | None] How does the "checkpoint" mechanism in DBMS contribute to efficient transaction recovery?
[5M | Understand | None] What are the different types of locks in DBMS, and how do they contribute to concurrency control?
[5M | Understand | None] Describe the "partially committed" state in transaction management and its impact on transaction recovery.
[5M | Understand | None] How can you ensure that a DBMS is resilient to system failure by using transaction logs?
[5M | Understand | None] Discuss the role of "read and write operations" in transaction management and their impact on consistency.
[5M | Understand | None] What is the significance of the "Consistency" property in the ACID model, and how does it affect transactions?
[5M | Understand | None] What is the role of "isolation" in database transaction management, and how does it ensure correct execution?
[5M | Understand | None] Discuss the process of "deadlock recovery" and how it is handled in modern DBMS.
[5M | Understand | None] Describe how to handle failure recovery using shadow paging in DBMS.
[5M | Understand | None] Explain the process of "log-based recovery" and its importance in maintaining data integrity in case of system failure.
[5M | Understand | None] What are the primary advantages of using concurrency control protocols in a DBMS?
[5M | Understand | None] How does a DBMS handle "system failure" and ensure that transactions are recovered correctly?
[5M | Understand | None] Explain the concept of "failure classification" in DBMS and its role in the recovery process.
[5M | Understand | None] Explain the concept of "log checkpointing" in DBMS and its role in enhancing recovery efficiency.
[5M | Understand | None] How does "two-phase locking" (2PL) help prevent deadlock in concurrent transaction management?
[5M | Analyze | None] Describe the difference between "atomicity" and "durability" in the ACID properties of transactions.
[5M | Understand | None] Explain the process of "deadlock detection" and how it can be managed in a DBMS.
[5M | Understand | None] Explain the role of "checkpointing" in a DBMS's recovery process and how it minimizes the cost of recovery.
[5M | Understand | None] How does the "Durability" property of the ACID model ensure data integrity after a system crash?
[5M | Understand | None] Discuss the challenges faced during concurrent executions of transactions and how conflict serializability resolves them.
[5M | Understand | None] What is "view serializability" and how does it differ from conflict serializability?
[5M | Understand | None] Discuss how the "active" and "partially committed" states of a transaction influence its execution and recovery.
[5M | Understand | None] How does "timestamp-based concurrency control" ensure serializability in a DBMS?
[5M | Understand | None] Explain the importance of the "begin" operation in a transaction's lifecycle in DBMS.
[5M | Understand | None] Discuss how system failure impacts the state of transactions and how DBMS ensures consistency after recovery.
[5M | Understand | None] Define the "aborted state" of a transaction and explain how a DBMS recovers from this state.
[5M | Understand | None] What is the significance of "serializability" in the context of database transaction management?
[5M | Understand | None] How can a DBMS ensure consistency and integrity when concurrent transactions are executed?
[5M | Understand | None] Describe the impact of "isolation" in a DBMS and how it affects concurrent transactions.
[5M | Understand | None] Explain how "conflict serializability" can be used to detect errors in concurrent transaction execution.
[5M | Understand | None] Explain the concept of "undo/redo logs" and their role in transaction recovery in DBMS.
[5M | Understand | None] Define "media failure" and explain how it can be handled in DBMS recovery techniques.
[5M | Understand | None] How does a "timestamp-based protocol" help in managing concurrency in DBMS?
[5M | Understand | None] Discuss the role of "recovery from aborted transactions" in ensuring database consistency.
[5M | Understand | None] How does the concept of "two-phase locking" (2PL) impact transaction performance and deadlock prevention?
[5M | Understand | None] Describe the process of "shadow paging" and how it provides a mechanism for transaction recovery.
[5M | Analyze | None] Discuss the difference between "system failure" and "transaction failure" in terms of recovery strategies.
[5M | Understand | None] What are the primary benefits of using "serial execution" over "concurrent execution" in database transactions?
[5M | Understand | None] Explain how "log-based recovery" works in a DBMS when there is a system crash.
[5M | Understand | None] Discuss the concept of "durability" in the ACID properties and its importance in transaction management.
[5M | Understand | None] How does the use of "timestamps" in concurrency control protocols help in avoiding inconsistencies in the database?
[5M | Understand | None] Define and explain the term "failure classification" in the context of database recovery.
[5M | Understand | None] Discuss the role of "checkpointing" in recovery from failures in DBMS and its impact on performance.
[5M | Understand | None] Describe the concept of "media failure" in a database system and explain how to handle it with log-based recovery.
[5M | Analyze | None] How does "view serializability" relate to conflict serializability in transaction schedules?
[5M | Understand | None] Discuss the importance of "ACID properties" in maintaining the integrity of database transactions.
[5M | Understand | None] Explain how the "active state" and "failed state" of a transaction influence the recovery mechanism.
[5M | Understand | None] What is "conflict serializability," and how does it ensure the consistency of concurrent transactions?
[5M | Understand | None] Explain the concept of "transaction rollback" and its significance in transaction recovery.
[5M | Understand | None] Define and explain the concept of "transaction states" in DBMS.
[5M | Understand | None] Discuss the role of "atomicity" in ensuring reliable transaction processing.
[5M | Understand | None] Explain how "serial execution" can lead to better performance in some database scenarios.
[5M | Understand | None] Describe the mechanism of "deadlock prevention" in a DBMS using locking protocols.
[5M | Understand | None] Discuss the importance of "consistency" in the ACID properties for ensuring correct transaction execution.
[5M | Understand | None] Define "conflict equivalence" and explain its significance in transaction schedules.
[5M | Understand | None] Discuss how "checkpoints" enhance recovery in a database system.
[5M | Understand | None] Describe how "recovery using shadow paging" can prevent data corruption during a system crash.
[5M | Analyze | None] Discuss the differences between "transaction failure" and "system failure" and their impact on recovery methods.
[5M | Understand | None] Define "write-ahead logging" and explain its significance in transaction recovery.
[5M | Understand | None] Discuss the importance of "isolation" in ACID properties for maintaining concurrent transactions.
[5M | Understand | None] Explain the concept of "transaction management" and how it ensures consistency in a DBMS.
[5M | Understand | None] Describe how "conflict serializability" helps ensure transaction schedules maintain database integrity.
[5M | Understand | None] Define "deadlock detection" and explain how it can be applied to manage concurrency in DBMS.
[5M | Understand | None] Explain how "timestamp-based protocols" are used to enforce serializability in a database system.
[5M | Understand | None] Discuss the importance of "checkpointing" in ensuring efficient recovery in large databases.
[5M | Understand | None] Define "log-based recovery" and explain its components and advantages over other recovery techniques.
[5M | Analyze | None] Discuss the difference between "undo" and "redo" operations in the context of transaction recovery.
[5M | Understand | None] Explain the role of "transaction lifespan" in managing the flow of transactions within a DBMS.
[5M | Understand | None] Describe how "shadow paging" can be used as an alternative to log-based recovery.
[5M | Analyze | None] Discuss the trade-offs between using "lock-based" and "timestamp-based" protocols in concurrency control.
[5M | Understand | None] Define "conflict serializability" and explain how it can be checked in a transaction schedule.
[5M | Understand | None] Describe how "isolation" in transaction management ensures that transactions are processed independently.
[5M | Understand | None] Discuss how "serializability" in a DBMS prevents issues related to concurrent transactions.
[5M | Understand | None] Define the concept of "failure classification" and discuss its significance in transaction recovery.
[5M | Analyze | None] Explain the differences between "serial execution" and "concurrent execution" in terms of transaction consistency.
[5M | Understand | None] Define the term "transaction states" and explain the different states that a transaction can undergo.
[5M | Understand | None] Discuss how "timestamp-based protocols" handle concurrent transactions and ensure consistency.
[5M | Understand | None] Discuss the impact of "system failures" on transactions and explain the recovery techniques used to address them.
[5M | Understand | None] Define "deadlock prevention" and explain its role in maintaining system performance in DBMS.
[5M | Analyze | None] Explain the differences between "transaction failure" and "system failure" in the context of database recovery.
[5M | Understand | None] Define "conflict equivalence" and explain its importance in determining serializability in DBMS.
[5M | Understand | None] Discuss the concept of "view serializability" and how it differs from conflict serializability.
[5M | Understand | None] Explain how "write-ahead logging" ensures durability in transaction management.
[5M | Understand | None] Discuss the relationship between "atomicity" and "consistency" in the ACID properties of transactions.
[5M | Understand | None] Define "transaction management" and explain the importance of transaction logs for ensuring recovery in case of failures.
[5M | Understand | None] Explain how "concurrent executions" impact the performance and reliability of a DBMS.
[5M | Understand | None] Discuss the importance of "transaction rollback" in maintaining database consistency after a failure.
[5M | Understand | None] Define "shadow paging" and describe its advantages and disadvantages compared to log-based recovery methods.
[5M | Understand | None] Explain the concept of "transaction scheduling" and how it relates to serializability in a DBMS.
[5M | Understand | None] Define "concurrent execution" and discuss its impact on transaction integrity in a multi-user environment.
[10M | Understand | None] State the ACID properties of a transaction.
[10M | Understand | None] Explain the concept of a serial schedule.
[10M | Understand | None] Explain the different states of a transaction with the help of a diagram.
[10M | Understand | None] Explain the concept of Recoverability.
[10M | Understand | None] Write a detailed note on Shadow-paging.
[10M | Apply | 2 (Average)] Solve a problem where a transaction fails after some operations are performed, but it needs to be rolled back. Illustrate the recovery process using log-based recovery.
[10M | Apply | 2 (Average)] Solve an example of deadlock detection in lock-based concurrency control.
[10M | Apply | 2 (Average)] How would you handle a deadlock situation in a database using deadlock prevention methods?
[10M | Analyze | 2 (Average)] Describe how shadow paging works as a recovery technique and compare it to log-based recovery.
[10M | Apply | 2 (Average)] Solve a problem involving timestamp-based concurrency control where two transactions have conflicting timestamps.
[10M | Apply | 2] Describe a situation where a transaction needs to be aborted. What is the process of recovery?
[10M | Apply | 3] Discuss how to handle deadlock using the timestamp-based concurrency control protocol.
[10M | Apply | 3] Solve a case where a database transaction is aborted, and recovery is done using shadow paging.
[10M | Apply | 3] Solve a numerical problem involving transaction recovery after a media failure.
[10M | Apply | 3] Solve an example where a DBMS needs to handle system failure and recover transactions using log-based recovery.
[10M | Apply | 3 (Difficult)] Solve a problem where deadlock detection is used in a DBMS with lock-based protocols.
[10M | Apply | 2 (Average)] Describe the process of how deadlock is detected and resolved in DBMS using timestamp-based protocols.
[10M | Apply | 3 (Difficult)] Solve an example of a recovery scenario where system failure occurs and transactions must be rolled back using log-based recovery.
[10M | Apply | 3 (Difficult)] Solve a numerical example involving recovery from media failure using the checkpoint mechanism.
[10M | Apply | 3 (Difficult)] Solve an example where a transaction must be rolled back after a failure using undo/redo log.
[10M | Apply | 3 (Difficult)] Solve an example involving transaction failure, and explain how system recovery can be performed using shadow paging.
[10M | Apply | 3 (Difficult)] Solve a problem in which two transactions must be executed concurrently and ensure serializability through conflict serializability.
[10M | Apply | None] Solve a problem where a transaction enters the "partially committed" state and explain how recovery takes place.
[10M | Apply | None] Solve an example using timestamp-based concurrency control protocols to manage transactions.
[10M | Apply | None] Solve a problem where you need to handle deadlock detection and recovery in a DBMS.
[10M | Apply | None] Solve a problem where transaction recovery is done after a system crash using log-based methods.
[10M | Apply | None] Solve a problem where multiple transactions must be scheduled concurrently while maintaining serializability.
[10M | Apply | None] Solve a case where transaction recovery after system crash is performed using two-phase logging.
[10M | Apply | None] Solve an example where timestamp-based protocols are used to resolve conflicts in concurrent transactions.
[10M | Apply | None] Solve an example where conflict serializability is checked in a transaction schedule.
[10M | Apply | None] Solve a problem where a transaction has to be rolled back using undo logs in a DBMS after a failure.
[10M | Apply | None] Solve a problem where system failure occurs and the recovery is done using the shadow paging technique.
[10M | Apply | None] Solve an example where a database transaction must be recovered from a failure using a write-ahead log.
[10M | Apply | None] Solve a problem where concurrency control is applied using lock-based protocols in a DBMS.
[10M | Apply | None] Solve a problem where recovery from media failure is performed using log-based recovery techniques.
[10M | Apply | None] Solve a case where transaction scheduling is required, and the transactions must be serialized for consistency.
[10M | Apply | None] Solve an example where transactions are ordered based on timestamps to ensure serializability.
[10M | Apply | None] Solve a problem where you must use "write-ahead logging" to recover a database after a system crash.
[10M | Apply | None] Solve an example where transactions must be serialized based on conflict serializability.
[10M | Apply | None] Solve a problem in which you need to identify and resolve deadlock using a deadlock detection protocol.
[10M | Apply | None] Solve a problem where transactions fail and need to be recovered using the undo/redo log mechanism.
[10M | Apply | None] Solve a problem where concurrency control is managed using both locks and timestamps in a DBMS.
[10M | Apply | None] Solve a problem where recovery is done using shadow paging and the database state is restored after a failure.
[10M | Apply | None] Solve a problem where you need to handle transactions that move between "partially committed" and "aborted" states.
[10M | Apply | None] Solve a problem where you need to identify the conflict serializability of a transaction schedule.
[10M | Apply | None] Solve a scenario where a database uses "lock-based protocols" and you need to detect deadlocks.
[10M | Apply | None] Solve an example where you need to manage "undo/redo logs" to recover from a system crash.
[10M | Apply | None] Solve a numerical problem where you need to recover a database using "log-based recovery" after a failure occurs.
[10M | Apply | None] Solve a problem where a set of transactions must be scheduled to meet the "serializability" criterion.
